0.1 0.552
0.2 0.506
0.3 0.48
0.4 0.526
0.5 0.504
0.6 0.518
0.7 0.512
0.8 0.498
0.9 0.504
1 0.014
1.1 0.524
1.2 0.478
1.3 0.554
1.4 0.484
1.5 0.516
1.6 0.516
1.7 0.522
1.8 0.514
1.9 0.548
2 0.492
2.1 0.526
2.2 0.496
2.3 0.506
2.4 0.53
2.5 0.506
2.6 0.498
2.7 0.542
2.8 0.502
2.9 0.512
3 0.534
3.1 0.488
3.2 0.516
3.3 0.486
3.4 0.482
3.5 0.52
3.6 0.536
3.7 0.538
3.8 0.474
3.9 0.482
4 0.496
4.1 0.562
4.2 0.508
4.3 0.552
4.4 0.538
4.5 0.508
4.6 0.506
4.7 0.476
4.8 0.52
4.9 0.52
5 0.514
5.1 0.518
5.2 0.504
5.3 0.526
5.4 0.542
5.5 0.5
5.6 0.464
5.7 0.502
5.8 0.508
5.9 0.49
6 0.486
6.1 0.512
6.2 0.524
6.3 0.498
6.4 0.506
6.5 0.474
6.6 0.482
6.7 0.516
6.8 0.472
6.9 0.502
7 0.466
7.1 0.512
7.2 0.5
7.3 0.508
7.4 0.514
7.5 0.502
7.6 0.452
7.7 0.526
7.8 0.518
7.9 0.52
8 0.506
8.1 0.524
8.2 0.518
8.3 0.49
8.4 0.494
8.5 0.484
8.6 0.53
8.7 0.518
8.8 0.528
8.9 0.482
9 0.524
9.1 0.482
9.2 0.56
9.3 0.494
9.4 0.526
9.5 0.528
9.6 0.488
9.7 0.456
9.8 0.51
9.9 0.52
10 0.512
