0 0 0 0 0 0
0.1 0 0 0 0 0
0.2 0 0 0 0 0
0.3 0 0 0 0 0
0.4 0 0 0 0 0
0.5 0 0.002 0 0 0.002
0.6 0.008 0.002 0.002 0.006 0.004
0.7 0.018 0.012 0.012 0.008 0.01
0.8 0.032 0.018 0.018 0.032 0.022
0.9 0.064 0.07 0.076 0.048 0.048
1 0.094 0.088 0.086 0.088 0.086
1.1 0.136 0.15 0.124 0.128 0.118
1.2 0.226 0.182 0.226 0.186 0.176
1.3 0.236 0.244 0.242 0.244 0.216
1.4 0.284 0.282 0.29 0.274 0.3
1.5 0.312 0.352 0.338 0.318 0.302
1.6 0.384 0.37 0.378 0.336 0.34
1.7 0.408 0.418 0.41 0.374 0.358
1.8 0.47 0.438 0.452 0.458 0.454
1.9 0.468 0.484 0.456 0.46 0.484
2 0.488 0.496 0.456 0.51 0.526
2.1 0.526 0.52 0.54 0.518 0.512
2.2 0.53 0.54 0.496 0.572 0.556
2.3 0.608 0.564 0.572 0.588 0.574
2.4 0.61 0.568 0.564 0.608 0.562
2.5 0.586 0.594 0.608 0.604 0.588
2.6 0.624 0.614 0.62 0.634 0.606
2.7 0.612 0.608 0.65 0.65 0.658
2.8 0.658 0.638 0.636 0.632 0.662
2.9 0.64 0.634 0.65 0.694 0.66
3 0.718 0.728 0.678 0.682 0.68
3.1 0.668 0.692 0.652 0.65 0.708
3.2 0.706 0.646 0.676 0.694 0.674
3.3 0.72 0.708 0.7 0.724 0.708
3.4 0.692 0.682 0.72 0.68 0.712
3.5 0.704 0.668 0.736 0.736 0.698
3.6 0.738 0.696 0.722 0.758 0.72
3.7 0.75 0.752 0.752 0.734 0.718
3.8 0.706 0.734 0.738 0.758 0.774
3.9 0.728 0.766 0.724 0.74 0.724
4 0.766 0.726 0.744 0.724 0.762
4.1 0.758 0.758 0.792 0.778 0.75
4.2 0.732 0.75 0.766 0.772 0.758
4.3 0.776 0.776 0.756 0.786 0.782
4.4 0.75 0.754 0.764 0.766 0.81
4.5 0.788 0.798 0.764 0.764 0.8
4.6 0.766 0.778 0.788 0.766 0.822
4.7 0.78 0.79 0.784 0.8 0.802
4.8 0.792 0.794 0.812 0.774 0.802
4.9 0.8 0.8 0.824 0.786 0.79
5 0.814 0.776 0.836 0.81 0.816
5.1 0.822 0.808 0.78 0.812 0.828
5.2 0.812 0.782 0.832 0.8 0.806
5.3 0.804 0.822 0.836 0.818 0.806
5.4 0.828 0.81 0.808 0.838 0.788
5.5 0.854 0.824 0.826 0.84 0.822
5.6 0.814 0.846 0.844 0.844 0.828
5.7 0.854 0.836 0.836 0.832 0.86
5.8 0.834 0.848 0.85 0.834 0.834
5.9 0.822 0.822 0.812 0.84 0.822
6 0.864 0.816 0.83 0.822 0.828

