0.001 0.316 2272.86 577.247
0.002 0.3106 2249.99 579.915
0.003 0.3186 2266.14 599.565
0.004 0.3166 2255.46 580.072
0.005 0.3077 2275 581.555
0.006 0.3181 2255.22 567.93
0.007 0.3067 2251.29 582.085
0.008 0.3131 2268.82 579.289
0.009 0.3096 2256.07 589.6
0.01 0.3141 2268.71 574.069
0.011 0.3089 2229.83 561.292
0.012 0.3075 2264.31 580.552
0.013 0.2989 2262.98 581.693
0.014 0.3049 2263.45 569.271
0.015 0.3112 2267.48 582.038
0.016 0.3028 2249.47 571.826
0.017 0.3006 2249.54 585.666
0.018 0.3032 2253.92 568.524
0.019 0.3151 2267.46 591.075

